feature,importance
WindowID_2025-07-02_1630,0.0
WindowID_2025-01-22_1630,0.0
WindowID_2025-01-22_1000,0.0
WindowID_2025-06-24_1000,0.0
WindowID_2025-01-24_1630,0.0
WindowID_2025-07-11_0300,0.0
WindowID_2025-05-07_1630,0.0
WindowID_2025-01-31_1000,0.0
WindowID_2025-09-10_0300,0.0
WindowID_2025-09-09_1000,0.0
WindowID_2025-09-04_1000,0.0
WindowID_2025-09-02_1000,0.0
WindowID_2025-08-28_1630,0.0
WindowID_2025-09-01_0300,0.0
WindowID_2025-04-25_0300,0.0
WindowID_2025-05-02_0300,0.0
WindowID_2025-04-23_1000,0.0
WindowID_2025-04-24_0300,0.0
WindowID_2024-12-27_1630,0.0
WindowID_2025-02-14_1000,0.0
WindowID_2025-08-26_1000,0.0
WindowID_2025-08-25_0300,0.0
WindowID_2024-12-30_0300,0.0
WindowID_2025-05-22_1630,0.0
WindowID_2025-02-14_1630,0.0
WindowID_2025-01-13_0300,0.0
WindowID_2025-01-07_1630,0.0
WindowID_2025-01-09_0300,0.0
WindowID_2025-01-07_0300,0.0
WindowID_2025-05-23_1000,0.0
WindowID_2025-05-29_1630,0.0
WindowID_2025-05-08_0300,0.0
WindowID_2025-05-14_1630,0.0
WindowID_2025-08-13_0300,0.0
WindowID_2025-08-14_1630,0.0
WindowID_2025-08-15_1000,0.0
WindowID_2025-05-05_1000,0.0
WindowID_2025-05-05_1630,0.0
WindowID_2025-05-06_1630,0.0
WindowID_2024-12-18_1630,0.0
WindowID_2025-10-09_1630,0.0
WindowID_2025-10-08_1000,0.0
WindowID_2025-10-07_1630,0.0
WindowID_2025-10-02_1000,0.0
WindowID_2025-09-29_1000,0.0
WindowID_2025-10-02_0300,0.0
WindowID_2025-09-24_1000,0.0
WindowID_2025-04-03_0300,0.0
WindowID_2025-02-24_0300,0.0
WindowID_2024-12-16_0300,0.0
WindowID_2024-12-19_1630,0.0
WindowID_2025-02-21_1000,0.0
WindowID_2024-12-10_0300,0.0
WindowID_2024-12-06_1000,0.0
