<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250915,002500,3641.565,3642.645,3641.415,3642.645,0,0
XAUUSD,5,20250915,003000,3642.855,3642.895,3641.435,3641.645,0,0
XAUUSD,5,20250915,003500,3642.045,3642.335,3641.435,3642.295,0,0
XAUUSD,5,20250915,004000,3642.375,3642.465,3641.665,3641.795,0,0
XAUUSD,5,20250915,004500,3641.485,3641.935,3641.315,3641.535,0,0
XAUUSD,5,20250915,005000,3641.525,3641.545,3640.355,3641.545,0,0
XAUUSD,5,20250915,005500,3641.555,3642.305,3641.555,3642.235,0,0
XAUUSD,5,20250915,010000,3642.19,3642.255,3639.995,3639.995,0,0
XAUUSD,5,20250915,010500,3639.835,3640.555,3639.235,3639.855,0,0
XAUUSD,5,20250915,011000,3639.855,3639.945,3639.385,3639.725,0,0
XAUUSD,5,20250915,011500,3639.725,3639.935,3639.505,3639.535,0,0
XAUUSD,5,20250915,012000,3638.985,3639.315,3637.665,3638.285,0,0
XAUUSD,5,20250915,012500,3638.295,3639.845,3638.235,3639.215,0,0
XAUUSD,5,20250915,013000,3639.245,3639.495,3637.155,3637.735,0,0
XAUUSD,5,20250915,013500,3637.525,3638.195,3636.985,3637.865,0,0
XAUUSD,5,20250915,014000,3637.895,3638.075,3637.335,3637.825,0,0
XAUUSD,5,20250915,014500,3637.795,3637.825,3637.345,3637.805,0,0
XAUUSD,5,20250915,015000,3637.785,3637.925,3637.285,3637.605,0,0
XAUUSD,5,20250915,015500,3637.615,3638.565,3637.615,3638.315,0,0
XAUUSD,5,20250915,020000,3638.22,3639.335,3634.905,3636.305,0,0
XAUUSD,5,20250915,020500,3636.205,3638.505,3636.175,3638.505,0,0
XAUUSD,5,20250915,021000,3638.455,3641.555,3638.455,3641.335,0,0
XAUUSD,5,20250915,021500,3641.355,3642.605,3641.335,3642.365,0,0
XAUUSD,5,20250915,022000,3642.375,3642.545,3640.935,3641.585,0,0
XAUUSD,5,20250915,022500,3641.755,3641.765,3639.285,3639.285,0,0
XAUUSD,5,20250915,023000,3639.415,3639.415,3635.115,3636.035,0,0
XAUUSD,5,20250915,023500,3635.595,3636.955,3633.705,3634.045,0,0
XAUUSD,5,20250915,024000,3633.895,3635.05,3633.675,3634.315,0,0
XAUUSD,5,20250915,024500,3634.195,3635.175,3632.775,3633.275,0,0
XAUUSD,5,20250915,025000,3633.465,3633.595,3632.185,3632.395,0,0
XAUUSD,5,20250915,025500,3632.215,3634.155,3632.175,3633.395,0,0
XAUUSD,5,20250915,030000,3633.32,3634.025,3629.925,3632.125,0,0
XAUUSD,5,20250915,030500,3630.985,3631.465,3628.855,3630.355,0,0
