Local,Open,High,Low,Close,Volume
12.10.2016 21:25:00.000 UTC+03:00,1255.982,1256.161,1254.029,1254.388,0.33259
12.10.2016 21:30:00.000 UTC+03:00,1254.398,1256.049,1254.11,1255.648,0.31646
12.10.2016 21:35:00.000 UTC+03:00,1255.638,1255.838,1254.698,1255.128,0.28837999999999997
12.10.2016 21:40:00.000 UTC+03:00,1255.109,1255.148,1254.189,1254.829,0.20724000000000004
12.10.2016 21:45:00.000 UTC+03:00,1254.818,1255.479,1254.811,1255.359,0.15983000000000003
12.10.2016 21:50:00.000 UTC+03:00,1255.379,1255.569,1254.768,1255.169,0.18747
12.10.2016 21:55:00.000 UTC+03:00,1255.142,1255.189,1254.241,1254.348,0.20085
12.10.2016 22:00:00.000 UTC+03:00,1254.341,1255.191,1254.299,1254.999,0.21159000000000003
12.10.2016 22:05:00.000 UTC+03:00,1254.992,1255.542,1254.868,1255.192,0.18642999999999998
12.10.2016 22:10:00.000 UTC+03:00,1255.192,1255.542,1255.148,1255.298,0.15170999999999998
12.10.2016 22:15:00.000 UTC+03:00,1255.299,1255.568,1254.538,1254.541,0.18687
12.10.2016 22:20:00.000 UTC+03:00,1254.541,1255.408,1254.339,1254.841,0.18098
12.10.2016 22:25:00.000 UTC+03:00,1254.848,1255.058,1254.468,1254.848,0.12663
12.10.2016 22:30:00.000 UTC+03:00,1254.868,1254.978,1254.648,1254.842,0.16333
12.10.2016 22:35:00.000 UTC+03:00,1254.842,1255.169,1254.742,1255.159,0.12544
12.10.2016 22:40:00.000 UTC+03:00,1255.242,1255.369,1254.842,1254.891,0.13813
12.10.2016 22:45:00.000 UTC+03:00,1254.891,1254.959,1254.448,1254.568,0.17561999999999997
12.10.2016 22:50:00.000 UTC+03:00,1254.559,1254.778,1254.469,1254.648,0.13643
12.10.2016 22:55:00.000 UTC+03:00,1254.659,1255.48,1254.628,1255.179,0.26354
12.10.2016 23:00:00.000 UTC+03:00,1255.138,1255.28,1254.888,1254.939,0.15342
12.10.2016 23:05:00.000 UTC+03:00,1254.928,1254.928,1254.559,1254.679,0.09471
12.10.2016 23:10:00.000 UTC+03:00,1254.678,1254.879,1254.468,1254.508,0.09690000000000001
12.10.2016 23:15:00.000 UTC+03:00,1254.498,1254.598,1254.199,1254.39,0.11097000000000001
12.10.2016 23:20:00.000 UTC+03:00,1254.389,1254.649,1254.329,1254.358,0.11939999999999999
12.10.2016 23:25:00.000 UTC+03:00,1254.349,1254.58,1254.329,1254.469,0.11637
12.10.2016 23:30:00.000 UTC+03:00,1254.469,1254.67,1254.231,1254.659,0.05622
12.10.2016 23:35:00.000 UTC+03:00,1254.66,1254.66,1254.389,1254.531,0.04179
12.10.2016 23:40:00.000 UTC+03:00,1254.531,1254.61,1254.409,1254.49,0.04371
12.10.2016 23:45:00.000 UTC+03:00,1254.49,1254.67,1254.28,1254.628,0.046400000000000004
12.10.2016 23:50:00.000 UTC+03:00,1254.628,1255.24,1254.431,1255.229,0.05288999999999999
12.10.2016 23:55:00.000 UTC+03:00,1255.282,1255.421,1254.929,1254.929,0.02103
