<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^NDQ,5,20250617,200500,19512.2,19531.89,19512.2,19531.89,45262221,0
^NDQ,5,20250617,201000,19531.99,19538.56,19523.54,19530.11,37004496,0
^NDQ,5,20250617,201500,19527.5,19528.3,19512.35,19518.44,41609341,0
^NDQ,5,20250617,202000,19518.29,19522.18,19510.81,19510.81,32135915,0
^NDQ,5,20250617,202500,19508.99,19512.1,19492.04,19505.72,42072431,0
^NDQ,5,20250617,203000,19505.69,19525.63,19505.69,19525.63,36876331,0
^NDQ,5,20250617,203500,19525.65,19530.15,19510.66,19513.01,31258585,0
^NDQ,5,20250617,204000,19513,19514.6,19485.55,19500.97,35698368,0
^NDQ,5,20250617,204500,19500.62,19513.62,19500.62,19512.48,30526098,0
^NDQ,5,20250617,205000,19512.78,19517.07,19506.44,19516.5,27819350,0
^NDQ,5,20250617,205500,19519.08,19541.29,19519.08,19541.29,39596717,0
^NDQ,5,20250617,210000,19543.04,19543.3,19524.66,19524.66,40513917,0
^NDQ,5,20250617,210500,19525.03,19529.57,19518.23,19529.57,41026621,0
^NDQ,5,20250617,211000,19529.63,19539.87,19523.21,19535.37,45171161,0
^NDQ,5,20250617,211500,19534.91,19538.32,19527.5,19529.83,41089833,0
^NDQ,5,20250617,212000,19529.38,19546.98,19529.38,19546.48,39299501,0
^NDQ,5,20250617,212500,19546.09,19550.02,19544.31,19547.52,48786679,0
^NDQ,5,20250617,213000,19551.13,19551.13,19538.78,19545.85,34909025,0
^NDQ,5,20250617,213500,19545.82,19553.85,19540.24,19540.24,47023501,0
^NDQ,5,20250617,214000,19539.66,19542.23,19530.25,19540.57,55100523,0
^NDQ,5,20250617,214500,19540.7,19551.76,19539.33,19551.76,52620492,0
^NDQ,5,20250617,215000,19557.58,19557.58,19532.14,19541.26,96106224,0
^NDQ,5,20250617,215500,19530.63,19537.46,19515.49,19521.09,545092164,0
^NDQ,5,20250618,153000,19528.68,19551.62,19491.9,19494.14,140592170,0
^NDQ,5,20250618,153500,19501.8,19532.72,19501.8,19525.67,105226296,0
^NDQ,5,20250618,154000,19528.13,19550.01,19528.13,19543.48,100328153,0
^NDQ,5,20250618,154500,19540.96,19562.92,19539.75,19562.92,101329921,0
^NDQ,5,20250618,155000,19570.03,19584.8,19567.06,19567.06,94959796,0
^NDQ,5,20250618,155500,19566.73,19579.69,19566.73,19579.69,95812432,0
^NDQ,5,20250618,160000,19575.21,19593.59,19555.59,19593.59,115058938,0
^NDQ,5,20250618,160500,19587.43,19600.01,19580.34,19592.16,77196456,0
^NDQ,5,20250618,161000,19592.54,19610.8,19592.54,19610.8,78395283,0
